gbpaud,gbpdkk,gbpsek
1.8246,8.5446,11.9254
1.8247,8.5452,11.9254
1.8244,8.5449,11.9234
1.8246,8.5438,11.9229
1.8245,8.5434,11.9237
1.8245,8.5438,11.9232
1.8251,8.5432,11.9225
1.8247,8.5444,11.9245
1.8242,8.5437,11.9249
1.8246,8.5437,11.9243
1.8245,8.5437,11.9255
1.8242,8.5447,11.931
1.8241,8.544,11.9306
1.8242,8.5421,11.9276
1.8245,8.5423,11.9276
1.8243,8.5432,11.9288
1.8241,8.544,11.9301
1.8241,8.544,11.9302
1.824,8.5442,11.9309
1.8238,8.5443,11.9302
1.8236,8.5438,11.9305
1.8237,8.5433,11.9292
1.8238,8.5441,11.9303
1.8235,8.5443,11.9323
1.8235,8.544,11.9319
1.8234,8.5431,11.9304
1.8232,8.5431,11.9307
1.823,8.5428,11.9302
1.8229,8.5427,11.9299
1.8222,8.5424,11.9295
1.8226,8.5428,11.9301
1.8229,8.5438,11.9317
1.8229,8.544,11.9315
1.8233,8.5432,11.9306
1.8232,8.544,11.9317
1.822,8.5429,11.9293
1.8223,8.5427,11.9287
1.8222,8.5421,11.9267
1.8221,8.5419,11.9265
1.8222,8.5421,11.9268
1.8219,8.5423,11.927
1.8222,8.5423,11.927
1.822,8.5419,11.9258
1.8223,8.541,11.9253
1.8224,8.5414,11.9249
1.823,8.5422,11.9219
1.8222,8.5413,11.9208
1.8216,8.5419,11.9211
1.8216,8.5423,11.922
1.8217,8.5428,11.9242
1.8215,8.5444,11.9261
1.8208,8.5446,11.9265
1.8247,8.5424,11.9241
1.8247,8.5422,11.9238
1.825,8.5414,11.9227
1.8262,8.5415,11.9232
1.8266,8.542,11.9238
1.8266,8.5421,11.9238
1.8267,8.5422,11.9232
1.8263,8.5413,11.9228
1.8259,8.5409,11.9225
1.8262,8.5406,11.9215
1.8259,8.5404,11.9212
1.8262,8.5402,11.9206
1.826,8.5398,11.9195
1.8259,8.54,11.9196
1.8256,8.5402,11.9203
1.8251,8.5392,11.9193
1.8249,8.5398,11.9204
1.8243,8.5347,11.9206
1.8236,8.5344,11.9192
1.8221,8.5352,11.9204
1.8222,8.5341,11.9199
1.8217,8.5345,11.9202
1.8215,8.5346,11.9233
1.8216,8.5339,11.9231
1.8213,8.5333,11.9216
1.8216,8.5338,11.9218
1.8218,8.5338,11.9219
1.8215,8.5338,11.9227
1.8209,8.5339,11.9223
1.8206,8.5331,11.9209
1.8203,8.5337,11.9198
1.8194,8.5341,11.9206
1.8186,8.534,11.9221
1.8186,8.5337,11.9227
1.819,8.5355,11.9243
1.819,8.5408,11.9255
1.8191,8.5414,11.9258
1.8188,8.5406,11.9249
1.8186,8.5407,11.9249
1.8185,8.5404,11.9221
1.8185,8.5404,11.9211
1.8186,8.5406,11.9197
1.8189,8.5407,11.9197
1.8188,8.5414,11.9206
1.8194,8.5421,11.9212
1.8191,8.5425,11.9221
1.8192,8.5426,11.9228
1.8187,8.5425,11.9229
1.819,8.542,11.923
1.8198,8.5413,11.9254
1.82,8.5426,11.926
1.82,8.5449,11.9262
1.8194,8.5445,11.9257
1.8198,8.544,11.9252
1.8199,8.545,11.9263
1.8198,8.5466,11.9345
1.8198,8.5477,11.9345
1.8199,8.5482,11.9365
1.8195,8.5487,11.9371
1.8199,8.5461,11.9326
1.8204,8.5458,11.9317
1.8206,8.544,11.9313
1.8208,8.5422,11.9294
1.8207,8.5421,11.9327
1.8205,8.5409,11.933
1.8205,8.5401,11.9302
1.8202,8.5402,11.9302
1.8209,8.5393,11.9312
1.8215,8.5408,11.9305
1.8211,8.5413,11.9321
1.8207,8.541,11.9315
1.8205,8.5396,11.9277
1.8196,8.5381,11.9281
1.8196,8.5318,11.9162
1.8204,8.5315,11.9104
1.8203,8.5353,11.9128
1.8199,8.5351,11.9114
1.8203,8.5327,11.9076
1.8195,8.5323,11.905
1.82,8.5308,11.8993
1.8203,8.5332,11.9007
1.8206,8.5355,11.8966
1.8209,8.5374,11.8977
1.8209,8.54,11.8984
1.8197,8.5403,11.8964
1.8192,8.5353,11.8904
1.8191,8.5344,11.8894
1.8202,8.5362,11.8946
1.8187,8.5405,11.9018
1.819,8.5381,11.8955
1.8192,8.5374,11.8953
1.8204,8.5391,11.8963
1.8203,8.5428,11.9016
1.8195,8.5428,11.9012
1.8194,8.5425,11.9014
1.8197,8.5437,11.9029
1.8189,8.5451,11.9053
1.8198,8.5422,11.9017
1.821,8.5445,11.9048
1.8205,8.5481,11.9092
1.8206,8.5468,11.9087
1.8205,8.5471,11.9103
1.8203,8.5479,11.9113
1.8201,8.5456,11.8973
1.8204,8.5436,11.8932
1.8208,8.5423,11.8908
1.8208,8.5441,11.8939
1.8229,8.5442,11.8935
1.8231,8.5532,11.9028
1.8239,8.5541,11.9094
1.8246,8.5553,11.9143
1.8245,8.5606,11.9183
1.8244,8.5603,11.9205
1.8245,8.5588,11.9191
1.8248,8.5611,11.9224
1.8252,8.5626,11.9254
1.8255,8.5651,11.9289
1.8255,8.5655,11.929
1.8262,8.5673,11.9206
1.8271,8.5665,11.9254
1.8271,8.5679,11.9297
1.8267,8.5674,11.9285
1.8267,8.5668,11.9264
